country,continent,one,two,three,total,population,area
France,Europe,492,82,26,600,65273511,547557
Singapore,Asia,22,6,1,29,5850342,700
Japan,Asia,296,98,25,419,126476461,364555
Germany,Europe,241,39,10,290,83783942,348560
Italy,Europe,288,37,8,333,60461826,547557
Spain,Europe,146,20,8,174,46754778,498800
Portugal,Europe,11,3,0,14,10196709,91590
United States,North America,115,20,13,148,331002651,9147420
Ireland,Europe,9,1,0,10,4937786,68890
United Kingdom,Europe,139,20,4,163,67886011,241930
Hong Kong and Macao,Asia,51,18,8,77,7496981,1050
Belgium,Europe,106,20,3,129,11589623,30280
Luxembourg,Europe,11,0,0,11,625978,2590
Netherlands,Europe,85,20,2,107,17134872,33720
Switzerland,Europe,95,18,3,116,8654622,39516
Sweden,Europe,20,4,0,24,10099265,410340
Austria,Europe,6,3,0,9,9006398,82409
Denmark,Europe,19,2,1,22,5792022,42430
Finland,Europe,4,0,0,4,5540720,303890
Norway,Europe,4,0,1,5,5421241,365268
Greece,Europe,3,2,0,5,10423054,128900
Hungary,Europe,5,0,0,5,9660351,90530
Czech Republic,Europe,3,0,0,3,10708981,77240
Brazil,South America,17,1,0,18,212559417,8358140
Poland,Europe,2,0,0,2,37846611,306230